"VideoAnalysis: Time (s)","VideoAnalysis: X (cm)","VideoAnalysis: Y (cm)","VideoAnalysis: X Velocity (cm/s)","VideoAnalysis: Y Velocity (cm/s)"
0,46.6055836842,36.2237701107,-3.17942792473,-2.67511151126
0.40168,45.4892493059,35.2190186803,-3.67575700999,-2.95157599713
0.60168,44.4794488733,34.5611336985,-4.39095355205,-3.48551264399
0.80168,43.6620154231,33.8027735736,-5.01624052624,-4.13161370451
1.00168,42.4886273205,32.8384141604,-5.75368858991,-4.54795882337
1.20168,41.292518708,31.9795788925,-6.13145212675,-4.88729384374
1.40168,40.0534935772,30.9384746465,-6.58467019591,-5.45790121319
1.60168,38.6660277828,29.7504444375,-7.06972502871,-5.85326613257
1.80168,37.2371601707,28.6290610571,-7.60856575955,-6.38306073454
2.00168,35.6452097887,27.1961542433,-8.24081303041,-6.8958149542
2.20168,33.8755345306,25.8298942579,-8.60602418687,-7.23935747638
2.40168,32.2320843265,24.3358945179,-9.07445938755,-7.69888679824
2.60168,30.2761008885,22.7247579277,-9.65516476132,-8.04951194845
2.80168,28.3039606437,21.0823175241,-9.98874952923,-8.28232704819
3.00168,26.3197027936,19.4848132397,-10.497155997,-8.80097177038
3.20168,24.1486318635,17.5571042138,-11.1664292838,-9.31239361448
3.40168,21.8144781635,15.6930126152,-11.6927176342,-9.57262760096
3.60168,19.4353883443,13.7910535004,-12.0876618034,-10.1046662039
3.80168,17.0305486141,11.6755215941,-12.6759406804,-10.7133514647
4.00168,14.4030478884,9.4817301543,-13.4084216639,-11.2075826585
4.20168,11.5806556793,7.11475794028,-13.8702717903,-11.2499298285
4.40168,8.87439051994,4.93964780845,-14.5835017834,-10.7806714935
4.52168,7.05977914255,3.47240777988,-16.2988101075,-8.69628010946
4.72168,3.68805549808,1.8658152916,-17.882246643,-4.83595063425
4.92168,-0.16584785295,1.16804319268,-18.6041905058,0.23414747531
5.12168,-4.12376064854,1.81885957149,-17.3430419299,5.82528624558
5.32168,-7.45408247527,3.68295117007,-14.0935181627,10.5564116474
5.52168,-9.88770151784,6.31802539895,-9.86259460019,13.6744509832
5.72168,-11.4887401037,9.42366662943,-5.07144217263,15.0763204588
5.92168,-11.9411306975,12.6126163956,-0.271243616202,14.8443468594
6.12168,-11.4125001711,15.5763806653,3.54145426718,13.3188469559
6.32168,-10.2820285868,18.0367594193,6.01490432682,11.1598375309
6.52168,-8.91021469908,20.0316201739,7.72967168643,8.95117958473
6.72168,-7.05672600504,21.5725756341,8.63218082307,6.91979771448
6.92168,-5.3552122761,22.7974635588,8.95482608629,4.9464793691
7.12168,-3.48708147578,23.5755147922,9.21022144571,2.89476124013
7.32168,-1.64066138477,23.8900676269,9.27417547311,1.10727422436
7.52168,0.257258528311,24.0496160953,9.18553743513,-0.851177614649
7.72168,2.03046808796,23.6093431066,9.09458527117,-3.0678999393
7.92168,3.86123627227,22.8423996781,9.14395329232,-5.38455043177
8.12168,5.6955387581,21.3948507579,9.17571993093,-7.43816193655
8.32168,7.54953235236,19.8372335907,8.99157160204,-9.35790475898
8.52168,9.33334481655,17.6888831703,8.27335104435,-11.4329745229
8.72168,11.2191471244,15.302724748,5.5877026438,-13.5732605649
8.92168,11.95579654,12.205161921,0.850897114529,-15.2457425314
9.12168,11.6220574971,8.90462920707,-4.42250514462,-15.2359250272
9.32168,10.1073568481,5.81867908503,-9.33034562217,-13.489671529
9.52168,7.72776212871,3.26135948946,-13.2675154339,-10.1965299932
9.72168,4.60141998937,1.59266427458,-15.9553377104,-5.92409241291
9.92168,1.15244661181,0.804010136721,-17.3062262891,-1.10510034843
10.12168,-2.6080501992,1.12613647472,-16.9763581478,3.71711746743
10.32168,-5.93231322333,2.4449358397,-15.0979890931,7.55330723588
10.52168,-8.6320146799,4.50997772438,-13.1414306299,9.4242430374
10.72168,-11.038874011,6.50433357877,-11.8800215895,9.63237412656
10.92168,-13.3144592859,8.42093479985,-11.0956731284,9.27214184723
11.12168,-15.387579574,10.239585379,-10.7862814959,8.6819695944
11.32168,-17.6364051374,11.8966678889,-10.4658101086,8.1203382288
11.52168,-19.6696383085,13.4270204445,-9.73209191928,7.80758059481
11.72168,-21.5034358941,14.9705004057,-9.09844214782,7.68324891654
11.92168,-23.2872483583,16.6351564189,-8.52566090244,7.0209180078
12.12168,-24.883237942,17.7843093112,-8.11823447789,6.31693283121
12.32168,-26.5973741764,19.0228295418,-7.47133107576,6.19014677689
12.52168,-27.8197376,20.3355701041,-7.02779026074,5.77619872455
12.72168,-29.3808890688,21.3246696279,-6.67064348274,5.37753792877
12.92168,-30.5876005858,22.5096704355,-5.89253614939,4.84486820057
13.12168,-31.722616272,23.3311430875,-5.17852309351,4.05210473594
13.32168,-32.6253778588,24.0107387786,-4.60300697195,3.74565835466
13.52168,-33.5311688468,24.8221134262,-4.19621167268,3.4878086192
13.72168,-34.3142690823,25.5087777204,-3.75105798197,2.8512837215
13.92168,-35.0655606042,25.8773548783,-3.17378873467,2.54441659004
14.12168,-35.5714706209,26.5009066454,-2.68131467369,2.3641111128
14.32168,-36.0824296398,26.8927092133,-2.42916610317,1.94004401863
14.52168,-36.5080605221,27.1895905404,-2.24526321188,1.68061646998
