"VideoAnalysis: Time (s)","VideoAnalysis: X (cm)","VideoAnalysis: Y (cm)","VideoAnalysis: X Velocity (cm/s)","VideoAnalysis: Y Velocity (cm/s)"
0.0488584712653,-12.4780459705,36.3394913794,23.547321951,-18.2419788487
0.0551223778377,-12.3697246776,36.2333628252,28.9236492993,-18.7651230183
0.0613862844102,-12.0938781463,36.0903962605,29.683861403,-17.9813791509
0.0676501909827,-11.9504730339,35.9851448018,24.4574761196,-14.980593078
0.0739140975551,-11.8417131932,35.9579548417,26.2233307885,-19.6480503527
0.0801780041276,-11.6351572056,35.7759575277,30.0720382663,-29.2280064091
0.0864419107001,-11.4360565296,35.5255467656,31.1611116304,-30.4590482653
0.0927058172725,-11.2676541957,35.3799489144,35.3676574993,-29.3641405796
0.098969723845,-11.0119808606,35.2067225553,41.870981302,-34.4341660443
0.105233630417,-10.7203466106,34.934384406,45.6924619457,-38.2459228187
0.11149753699,-10.4273967172,34.7304597048,47.9775712365,-42.646946074
0.117761443562,-10.1449719698,34.4063729216,53.7302123276,-47.3260719919
0.124025350135,-9.76168124108,34.1081604554,60.4785776373,-48.4520960594
0.130289256707,-9.37795196465,33.8108250846,65.8130923475,-50.6069055012
0.13655316328,-8.91440699871,33.5060344022,67.8628840007,-56.2856451855
0.142817069852,-8.52453805385,33.0416123408,68.819712742,-54.0316522766
0.149080976425,-8.07327242476,32.8319865189,72.8006648426,-51.9663024325
0.155344882997,-7.58780007161,32.4653606045,73.8508427294,-60.0332244223
0.16160878957,-7.18345905118,32.02681286,79.9224267343,-62.0363415027
0.167872696142,-6.58484137994,31.7163210569,85.9337227493,-68.0923673167
0.174136602715,-6.08840533317,31.190940859,90.0158030909,-75.9317507644
0.180400509287,-5.48320944576,30.7168707472,97.0072651336,-77.7559486492
0.18666441586,-4.86441857827,30.2454319218,102.771574868,-83.1507513493
0.192928322432,-4.1609879961,29.6818980702,103.932604865,-88.5727808834
0.199192229005,-3.59569995344,29.1056463339,109.037636259,-89.7435347498
0.205456135577,-2.78789500807,28.5364113615,113.870399312,-88.349131889
0.211720042149,-2.15594770825,28.017170832,116.71754825,-89.4907141475
0.217983948722,-1.37840255725,27.4738101766,125.924107724,-98.7108870389
0.224247855294,-0.492097565622,26.7431896343,123.981278634,-103.139137128
0.230511761867,0.162654216914,26.1524658224,124.156308282,-103.378344314
0.236775668439,0.973967544235,25.4639458636,136.311144935,-105.690680438
0.243039575012,1.91070552648,24.8302443728,143.629328987,-108.983182591
0.249303481584,2.77946860834,24.1491797256,149.996518619,-119.755285026
0.255567388157,3.81268709437,23.3225172272,152.676417004,-129.3488545
0.261831294729,4.69679934728,22.4901536081,154.7378773,-133.57095856
0.268095201302,5.70063513444,21.6384938883,163.300716626,-135.525456293
0.274359107874,6.77683129944,20.8021833396,166.822702094,-137.419666037
0.280623014447,7.82057493134,19.907107393,166.396796618,-138.224802417
0.286886921019,8.8599330858,19.0260649743,166.550433753,-134.031869965
0.293150827592,9.86245322973,18.3090394121,173.331860219,-140.107343518
