"VideoAnalysis: Time (s)","VideoAnalysis: X (cm)","VideoAnalysis: Y (cm)","VideoAnalysis: X Velocity (cm/s)","VideoAnalysis: Y Velocity (cm/s)"
2.1633,49.4984861305,39.3938865849,-2.31417036593,-2.08184343626
3.39786666667,47.589979367,37.5372870108,-3.53762330696,-3.02764190284
4.33213333333,43.6418870788,34.3117008545,-5.59478864353,-4.67599515952
5.2664,37.5619298179,29.1755106745,-7.90713341637,-6.56337611883
6.50096666667,25.9389139022,19.657095349,-9.77012629499,-8.11214591917
7.43523333333,14.6745294772,10.236726937,-11.1551944154,-9.34791751705
7.4686,14.217851073,9.76064887619,-11.3555525637,-10.0498951182
7.50196666667,13.9378668391,9.54358244759,-12.7342780432,-9.85822756783
7.53533333333,13.3490610436,9.19281568254,-13.1711675661,-11.5526525923
7.5687,12.9883322927,8.6716465279,-11.7307416185,-10.6914524727
7.60206666667,12.6359925825,8.4592989347,-11.9214889334,-9.32697625691
7.63543333333,12.1447093854,8.11115374488,-11.4261788292,-9.66787706451
7.6688,11.9239727515,7.81701300468,-12.3890817505,-10.3313459858
7.70216666667,11.485645374,7.51186164854,-16.1514961502,-12.5813786145
7.80226666667,9.60387867776,6.05531445376,-16.4903890913,-12.9397391305
7.83563333333,9.14038417805,5.72709323564,-14.9577758831,-12.3554499871
7.93573333333,7.71582020101,4.4309864446,-14.5247751134,-11.871204973
7.9691,7.24079077032,4.05662550253,-14.6721568774,-9.58199712354
8.00246666667,6.75108051836,3.90195256428,-15.8558887363,-9.51932404506
8.03583333333,6.16332335301,3.45209025574,-16.6091587581,-10.1296645285
8.0692,5.62065728152,3.12386903762,-16.4183459693,-8.35938103895
8.13593333333,4.54528712439,2.61842933432,-16.6813328279,-7.36897907681
8.20266666667,3.30528204316,2.14654579389,-16.096650841,-6.31288496161
8.23603333333,3.07825362871,2.01861292293,-17.9977948454,-5.48239210429
8.2694,2.15336188948,1.78634135804,-22.326976324,-4.44492999226
8.30276666667,1.36531637697,1.70664547121,-21.0158145751,-2.87081256279
8.33613333333,0.79433729305,1.58343143565,-20.2624281553,-1.11654835573
8.3695,0.0304102726052,1.63586294014,-19.5557464556,0.408557177858
8.40286666667,-0.564162988332,1.67256499329,-17.9342851559,0.529683905268
8.43623333333,-1.09424549874,1.65578691185,-18.1895242689,1.30301804203
8.4696,-1.73181259336,1.62747389942,-19.029554492,4.71630374653
8.5697,-3.75776592693,2.13972969831,-18.0142662097,7.59650713823
8.6698,-5.47909221939,3.18888410319,-16.2136854492,9.46654480138
8.7699,-6.96971989209,4.06186865298,-14.4877750812,10.9878310237
8.87,-8.37226263725,5.2971548988,-12.6696374407,13.1985211093
8.9701,-9.62642422469,6.81609558393,-9.78180166218,14.386217777
9.0702,-10.295450222,8.21968695918,-7.06870846577,15.1000288577
9.1703,-11.054658407,9.8214694214,-4.18654709248,15.7182480346
9.2704,-11.1652888815,11.4494676359,-1.15626919246,15.4962187421
9.3705,-11.2093313453,12.9710298962,1.15321374348,14.7749872853
9.4706,-10.8816344422,14.4066044892,2.91635330235,13.9635473348
9.5707,-10.6425467817,15.7514725794,4.65475827423,13.2206367401
9.6708,-9.92895400561,17.0585899864,6.16938798274,12.4281114737
9.7709,-9.35535334647,18.2891573968,7.17361221407,11.1705759722
9.871,-8.52745989054,19.2691022158,8.37702261936,10.0097963551
9.9711,-7.62458938319,20.3303158667,9.01095553387,8.53110454648
10.0712,-6.69812469883,21.0297521366,9.38488428996,6.67732000122
10.1713,-5.72447166041,21.5388620452,9.51088518598,5.89236060858
10.2714,-4.81373642739,22.2063150974,9.81744856694,5.20532108086
10.3715,-3.77821421368,22.6629935015,10.2415739848,3.91344815272
10.4716,-2.75265398582,22.9157133532,10.5559086478,3.19831047654
10.5717,-1.599160887,23.3131441572,10.3118575783,2.36186702146
10.6718,-0.717262981448,23.4248232618,10.2136348139,1.1395406093
10.7385333333,0.0728797912436,23.4452715485,10.485875318,0.140441529889
10.8052666667,0.730895172615,23.4232503167,10.1887219924,-0.623933593974
10.9053666667,1.73915300399,23.4206287414,10.29371833,-1.90935304351
11.0054666667,2.77519953275,23.0405003339,10.4887914744,-3.05324084011
11.1055666667,3.86525051113,22.7809643866,10.4842639324,-4.00816707109
11.2056666667,4.86878950711,22.3033133807,10.4467255592,-5.53923800507
11.3057666667,5.97456993684,21.664173341,10.2148024319,-6.98693883117
11.4058666667,6.96342811155,20.8834682391,9.5412941782,-8.30660179526
11.5059666667,7.83641266134,19.9816463618,9.17318532493,-9.41427479919
11.6060666667,8.82002768561,19.0389279111,8.57446282248,-10.8596476642
11.7061666667,9.63795915568,17.7831933785,7.16793780882,-12.0780443192
11.8062666667,10.225716321,16.621835554,5.88581321791,-13.3259769811
11.9063666667,10.8727210865,15.1013219237,4.05763624505,-14.4161902765
12.0064666667,11.0336858053,13.7538322583,2.21621899328,-15.5417594816
12.1065666667,11.2926974374,11.9522857639,0.410012153563,-16.3012567995
12.2066666667,11.206185455,10.3934971354,-2.3268966978,-16.0860199461
12.3067666667,10.9031313591,8.80324960417,-5.75707025229,-16.2454663157
12.4068666667,10.0595084518,7.01585961605,-8.86989979638,-15.1298038962
12.5403333333,8.80744412453,5.16607613758,-11.3047808527,-13.3785733135
12.6738,7.09607981792,3.36400532819,-13.9550149416,-10.9606312922
12.7739,5.4838110548,2.63258584053,-16.4662241833,-8.0430262311
12.874,3.65132997281,1.84506464307,-17.8100742629,-5.5620887814
12.9741,1.82461635631,1.40621295047,-18.0839619527,-2.12107889773
13.0742,0.0618691753003,1.56979924448,-18.2743918825,0.164309287111
13.1743,-1.90116635287,1.3411978849,-17.7333083226,3.05693929054
13.3077666667,-4.20605529033,2.00026189636,-16.3990529914,7.0840241636
13.4412333333,-6.25245691065,3.46310087168,-15.0382771306,9.65138627394
13.5413333333,-7.69327465408,4.5185470571,-13.7824878872,9.91373336661
13.6414333333,-9.04495883988,5.4313795503,-12.7514954131,9.9429999794
13.9417333333,-12.8236973686,8.55419995783,-12.1072702083,9.64111133144
14.1419333333,-15.1217702105,10.3515519318,-11.4699925299,9.05872557634
14.3755,-17.8235656369,12.4204990991,-10.6988059235,8.6599406741
14.6090666667,-20.1856049143,14.4516955831,-9.73000493264,8.04326457576
14.9093666667,-23.0336842383,16.7875191082,-8.90770171745,7.33266783436
15.2430333333,-25.972470065,19.2219138617,-7.94535458181,6.48404898619
15.7101666667,-29.4355709367,22.0081240104,-7.07039018837,5.71888599034
16.0772,-31.8841221965,24.0062886466,-6.1825383177,4.94789619755
16.4442333333,-33.8613142309,25.516840291,-5.42136760716,4.35128929805
16.7445333333,-35.2465545796,26.6923546217,-4.922283249,4.05369091416
